sensor_id,timestamp,value
sensor-C,2025-10-01T09:00:00Z,61.93
sensor-A,2025-10-01T09:03:00Z,68.82
sensor-B,2025-10-01T09:06:00Z,55.43
sensor-B,2025-10-01T09:09:00Z,17.92
sensor-D,2025-10-01T09:12:00Z,70.79
sensor-D,2025-10-01T09:15:00Z,48.06
sensor-B,2025-10-01T09:18:00Z,10.92
sensor-B,2025-10-01T09:21:00Z,38.57
sensor-B,2025-10-01T09:24:00Z,74.14
sensor-D,2025-10-01T09:27:00Z,21.17
sensor-A,2025-10-01T09:30:00Z,19.71
sensor-D,2025-10-01T09:33:00Z,18.87
sensor-A,2025-10-01T09:36:00Z,78.06
sensor-A,2025-10-01T09:39:00Z,24.66
sensor-B,2025-10-01T09:42:00Z,77.21
